3,TRUE,TRUE,TRUE
0111;0010;0000;0101,1021,0,0,
1000;0001;1100;0101,651,0,0,
0001;1010;1001;0010,719,0,0,
0111;1110;0001;1000,364,0,0,
1100;0011;0110;1001,377,357,111,
0110;1101;0101;1110,772,0,0,
1010;1011;0101;0100,355,0,0,
0111;1010;1111;0010,339,0,0,
0011;1101;0110;1000,757,0,0,
1101;1111;0100;0110,381,0,0,
1111;0101;1011;0001,368,0,0,
1111;1010;0011;0110,362,365,89,
1000;0111;0100;1011,339,0,0,
0000;1100;0101;1001,1075,1054,269,
0110;1110;1010;0010,741,0,0,
1011;1110;1100;1001,706,0,0,
1011;0110;0100;1001,369,0,0,
1010;0100;1111;0001,372,0,0,
0011;1100;1010;0101,333,359,115,
0101;0100;1100;1101,716,0,0,
1100;0000;1010;0110,1110,1030,282,
1111;0111;1011;0011,358,0,0,
1101;1011;0100;0010,326,0,0,
0110;1000;0100;1010,739,0,0,
0011;0010;1010;1011,708,0,0,
0000;0011;0010;0001,1074,0,0,
1100;0000;1111;0011,370,388,0,
0110;1000;0001;1111,371,0,0,
1101;1001;0011;0111,687,0,0,
1000;0000;1010;0010,1133,0,0,
0001;1000;0010;1011,723,0,0,
0101;1111;1010;0000,359,346,0,
1101;0111;1010;0000,1077,0,0,
0000;1011;1010;0001,1058,0,0,
1101;0111;1111;0101,390,0,0,
1100;0111;1000;0011,380,0,0,
1111;1010;1100;1001,360,351,88,
1001;1011;0010;0000,1064,0,0,
1010;1110;1000;1100,710,0,0,
1010;0101;1000;0111,368,0,0,
1100;0110;0101;1111,332,351,83,
1010;1101;0100;0011,708,0,0,
1001;0111;0100;1010,724,0,0,
0000;0111;1000;1111,339,0,0,
1111;1011;1110;1010,356,0,0,
1101;0001;0011;1111,356,0,0,
1110;0100;0111;1101,688,0,0,
0110;0101;0010;0001,700,0,0,
1110;0100;0011;1001,739,0,0,
0011;1110;1010;0111,751,0,0,
1110;0101;0001;1010,355,0,0,
0101;1101;1001;0001,725,0,0,
0111;0110;1110;1111,361,0,0,
0001;1010;0111;1100,690,0,0,

5,TRUE,FALSE,FALSE
0010;1000;1101;0111,475,0,0,
0001;0011;1001;1011,649,0,0,
1101;0010;1111;0000,448,0,0,
0011;1101;0010;1100,502,0,0,
0110;0010;1101;1001,462,0,0,
1100;0000;1000;0100,803,0,0,
1100;1111;0100;0111,471,0,0,
1101;1010;1100;1011,617,0,0,
0100;0010;1100;1010,634,0,0,
1110;0010;1001;0101,655,0,0,
1101;1001;1011;1111,480,0,0,
0001;0011;1110;1100,470,0,0,
1010;1001;0101;0110,498,480,163,
0011;0110;0000;0101,803,838,215,
1100;0110;0010;1000,639,0,0,
1011;0110;1111;0010,517,0,0,
1001;1000;1110;1111,448,0,0,
1001;1111;0110;0000,468,472,0,
1101;1011;1000;1110,616,0,0,
0010;0110;0011;0111,654,0,0,
0000;0011;1001;1010,829,815,212,
0100;0000;1101;1001,842,0,0,
1011;0100;1110;0001,466,0,0,
1011;1100;0010;0101,661,0,0,
1100;0111;0000;1011,822,0,0,
0011;1001;0010;1000,689,0,0,
0110;0111;1011;1010,632,0,0,
1110;1010;1001;1101,610,0,0,
0000;1010;0100;1110,789,0,0,
0010;0100;1111;1001,483,0,0,
0110;1011;1100;0001,679,0,0,
1111;1001;0001;0111,483,0,0,
0010;0111;1001;1100,638,0,0,
1011;1101;0001;0111,688,0,0,
0001;0111;0100;0010,679,0,0,
1000;0100;0010;1110,641,0,0,
0011;1000;0101;1110,650,0,0,
0011;0001;0101;0111,607,0,0,
0101;1011;1001;0111,640,0,0,
1100;0100;1001;0001,612,0,0,
1110;0101;0111;1100,653,0,0,
1100;0000;0010;1110,777,0,0,
1000;1010;1111;1101,533,0,0,
1100;0100;1011;0011,469,0,0,
0110;1101;1011;0000,793,0,0,
0010;0100;0110;0000,792,0,0,
0000;1001;1110;0111,812,0,0,
0001;1101;1100;0000,846,0,0,
0001;1111;0010;1100,474,0,0,
0010;1110;1011;0111,624,0,0,
0001;0100;0110;0011,682,0,0,
0011;1001;0101;1111,444,435,97,
0000;0101;0001;0100,856,0,0,
0110;1011;1110;0011,655,0,0,
1100;1000;1001;1101,639,0,0,
0110;1100;1101;0111,655,0,0,
1111;1110;0000;0001,439,0,0,
1110;1101;0001;0010,481,0,0,
0111;0100;0101;0110,631,0,0,
0011;0111;0000;0100,815,0,0,
1110;0100;0101;1111,470,0,0,
1000;0101;0000;1101,782,0,0,
1000;1011;1010;1001,709,0,0,
0101;1101;0010;1010,491,0,0,
1000;0100;0001;1101,621,0,0,
1000;0011;0001;1010,651,0,0,
0101;1111;1000;0010,489,0,0,
0100;1011;0000;1111,487,0,0,
1110;1101;0011;0000,827,0,0,
1110;0001;1001;0110,485,0,0,
1011;1000;0000;0011,809,0,0,
0010;0100;0011;0101,638,0,0,
1101;1010;0110;0001,631,0,0,
1011;0011;0101;1101,622,0,0,
0010;0011;1111;1110,485,0,0,
1110;1000;0110;0000,824,0,0,
1111;1101;1110;1100,471,0,0,
0000;0110;0001;0111,827,0,0,
1001;0110;0111;1000,493,0,0,
0100;1001;0101;1000,667,0,0,
1110;1100;0110;0100,648,0,0,
1100;1011;1111;1000,503,0,0,
1110;1011;0101;0000,811,0,0,
0001;1001;0000;1000,787,0,0,
0110;1000;1011;0101,666,0,0,
0101;0010;0111;0000,834,0,0,
0100;1000;1111;0011,540,0,0,
1000;0101;0001;1100,624,0,0,
1010;1001;0010;0001,663,0,0,
1110;0001;0111;1000,467,0,0,
1100;0110;0011;1001,467,496,149,
1010;1111;0010;0111,489,0,0,
1010;0100;0101;1011,500,0,0,
0101;1110;0110;1101,633,0,0,
1000;0011;1101;0110,637,0,0,
1101;0100;1111;0110,472,0,0,
1011;0101;1111;0001,525,0,0,
1010;1111;0110;0011,447,505,129,
1011;0100;0111;1000,440,0,0,
1100;1001;0000;0101,858,830,218,
1110;0010;1010;0110,663,0,0,
1100;1011;1001;1110,674,0,0,
0100;1001;0110;1011,492,0,0,
